Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume LSK,Volume BTC,,,,,,
1591290000,2020-06-04 05-PM,LSKBTC,7751.937984,7751.937984,7751.937984,7751.937984,6.153,0.0007935,,,,,,
1591286400,2020-06-04 04-PM,LSKBTC,7794.232268,7651.109411,7911.392405,7751.937984,591.6,0.07684,,,,,,
1591282800,2020-06-04 03-PM,LSKBTC,7794.232268,7794.232268,7794.232268,7794.232268,0,0,,,,,,
1591279200,2020-06-04 02-PM,LSKBTC,7757.951901,7757.951901,7794.232268,7794.232268,21.72,0.002788,,,,,,
1591275600,2020-06-04 01-PM,LSKBTC,7722.007722,7722.007722,7757.951901,7757.951901,6.143,0.0007924,,,,,,
1591272000,2020-06-04 12-PM,LSKBTC,7651.109411,7651.109411,7722.007722,7722.007722,39.09,0.00507,,,,,,
1591268400,2020-06-04 11-AM,LSKBTC,7662.835249,7651.109411,7662.835249,7651.109411,8.19,0.00107,,,,,,
1591264800,2020-06-04 10-AM,LSKBTC,7674.597084,7407.407407,7794.232268,7662.835249,3673.87,0.4818,,,,,,
1591261200,2020-06-04 09-AM,LSKBTC,7627.765065,7564.29652,7674.597084,7674.597084,78.59,0.01028,,,,,,
1591257600,2020-06-04 08-AM,LSKBTC,7627.765065,7627.765065,7627.765065,7627.765065,0,0,,,,,,
1591254000,2020-06-04 07-AM,LSKBTC,7621.95122,7530.120482,7674.597084,7627.765065,257.62,0.03373,,,,,,
1591250400,2020-06-04 06-AM,LSKBTC,7733.952049,7621.95122,7733.952049,7621.95122,139.31,0.01823,,,,,,
1591246800,2020-06-04 05-AM,LSKBTC,7733.952049,7668.711656,7843.137255,7733.952049,183.63,0.02381,,,,,,
1591243200,2020-06-04 04-AM,LSKBTC,7733.952049,7733.952049,7733.952049,7733.952049,0,0,,,,,,
1591239600,2020-06-04 03-AM,LSKBTC,7794.232268,7733.952049,7794.232268,7733.952049,0.8713,0.0001127,,,,,,
1591236000,2020-06-04 02-AM,LSKBTC,7794.232268,7794.232268,7794.232268,7794.232268,0,0,,,,,,
1591232400,2020-06-04 01-AM,LSKBTC,7794.232268,7794.232268,7794.232268,7794.232268,0,0,,,,,,
1591228800,2020-06-04 12-AM,LSKBTC,7794.232268,7794.232268,7794.232268,7794.232268,0,0,,,,,,
1591225200,2020-06-03 11-PM,LSKBTC,7794.232268,7794.232268,7794.232268,7794.232268,0,0,,,,,,
1591221600,2020-06-03 10-PM,LSKBTC,7745.933385,7733.952049,7794.232268,7794.232268,410.61,0.05301,,,,,,
1591218000,2020-06-03 09-PM,LSKBTC,7763.975155,7745.933385,7763.975155,7745.933385,598.46,0.07718,,,,,,
1591214400,2020-06-03 08-PM,LSKBTC,7911.392405,7763.975155,7911.392405,7763.975155,48.48,0.006244,,,,,,
1591210800,2020-06-03 07-PM,LSKBTC,7763.975155,7763.975155,7911.392405,7911.392405,24.74,0.003142,,,,,,
1591207200,2020-06-03 06-PM,LSKBTC,7763.975155,7763.975155,7763.975155,7763.975155,0,0,,,,,,
1591203600,2020-06-03 05-PM,LSKBTC,7763.975155,7763.975155,7830.853563,7763.975155,103.12,0.01328,,,,,,
1591200000,2020-06-03 04-PM,LSKBTC,7763.975155,7763.975155,7763.975155,7763.975155,0,0,,,,,,
1591196400,2020-06-03 03-PM,LSKBTC,7830.853563,7763.975155,7830.853563,7763.975155,93.15,0.012,,,,,,
1591192800,2020-06-03 02-PM,LSKBTC,7843.137255,7830.853563,7843.137255,7830.853563,276.36,0.03528,,,,,,
1591189200,2020-06-03 01-PM,LSKBTC,7830.853563,7830.853563,7843.137255,7843.137255,20.79,0.002654,,,,,,
1591185600,2020-06-03 12-PM,LSKBTC,7830.853563,7830.853563,7830.853563,7830.853563,25.34,0.003235,,,,,,
1591182000,2020-06-03 11-AM,LSKBTC,7911.392405,7745.933385,7911.392405,7830.853563,42.72,0.005487,,,,,,
1591178400,2020-06-03 10-AM,LSKBTC,7867.820614,7867.820614,7911.392405,7911.392405,3.744,0.0004732,,,,,,
1591174800,2020-06-03 09-AM,LSKBTC,7867.820614,7867.820614,7867.820614,7867.820614,0,0,,,,,,
1591171200,2020-06-03 08-AM,LSKBTC,7942.811755,7867.820614,8084.074373,7867.820614,548.43,0.06872,,,,,,
1591167600,2020-06-03 07-AM,LSKBTC,7942.811755,7942.811755,7942.811755,7942.811755,0,0,,,,,,
1591164000,2020-06-03 06-AM,LSKBTC,7942.811755,7942.811755,7942.811755,7942.811755,0,0,,,,,,
1591160400,2020-06-03 05-AM,LSKBTC,7942.811755,7942.811755,7942.811755,7942.811755,113.18,0.01425,,,,,,
1591156800,2020-06-03 04-AM,LSKBTC,7942.811755,7942.811755,7942.811755,7942.811755,108.54,0.01367,,,,,,
1591153200,2020-06-03 03-AM,LSKBTC,7936.507937,7936.507937,7942.811755,7942.811755,0.8934,0.0001125,,,,,,
1591149600,2020-06-03 02-AM,LSKBTC,7936.507937,7936.507937,7936.507937,7936.507937,0,0,,,,,,
1591146000,2020-06-03 01-AM,LSKBTC,7843.137255,7782.101167,7949.125596,7936.507937,751.28,0.09576,,,,,,
1591142400,2020-06-03 12-AM,LSKBTC,7867.820614,7843.137255,7867.820614,7843.137255,53.07,0.006761,,,,,,
1591138800,2020-06-02 11-PM,LSKBTC,7955.449483,7867.820614,7955.449483,7867.820614,0.8378,0.0001065,,,,,,
1591135200,2020-06-02 10-PM,LSKBTC,7942.811755,7942.811755,7955.449483,7955.449483,15.16,0.001905,,,,,,
1591131600,2020-06-02 09-PM,LSKBTC,7942.811755,7942.811755,7942.811755,7942.811755,0,0,,,,,,
1591128000,2020-06-02 08-PM,LSKBTC,7849.293564,7849.293564,7949.125596,7942.811755,269.46,0.03429,,,,,,
1591124400,2020-06-02 07-PM,LSKBTC,7849.293564,7849.293564,7849.293564,7849.293564,41.32,0.005266,,,,,,
1591120800,2020-06-02 06-PM,LSKBTC,7843.137255,7794.232268,7930.214116,7849.293564,88.63,0.01134,,,,,,
1591117200,2020-06-02 05-PM,LSKBTC,7905.13834,7782.101167,8084.074373,7843.137255,365.75,0.04665,,,,,,
1591113600,2020-06-02 04-PM,LSKBTC,8025.682183,7905.13834,8025.682183,7905.13834,0.8875,0.0001122,,,,,,
1591110000,2020-06-02 03-PM,LSKBTC,7949.125596,7651.109411,8025.682183,8025.682183,56.09,0.007143,,,,,,
1591106400,2020-06-02 02-PM,LSKBTC,8084.074373,7836.990596,8084.074373,7949.125596,65.29,0.008226,,,,,,
1591102800,2020-06-02 01-PM,LSKBTC,8084.074373,8084.074373,8084.074373,8084.074373,4.993,0.0006177,,,,,,
1591099200,2020-06-02 12-PM,LSKBTC,8084.074373,8084.074373,8084.074373,8084.074373,0,0,,,,,,
1591095600,2020-06-02 11-AM,LSKBTC,8163.265306,7651.109411,8163.265306,8084.074373,2042.53,0.2512,,,,,,
1591092000,2020-06-02 10-AM,LSKBTC,8163.265306,8163.265306,8163.265306,8163.265306,0,0,,,,,,
1591088400,2020-06-02 09-AM,LSKBTC,8058.017728,8058.017728,8163.265306,8163.265306,147.32,0.01812,,,,,,
1591084800,2020-06-02 08-AM,LSKBTC,8103.727715,8058.017728,8103.727715,8058.017728,0.8769,0.0001088,,,,,,
1591081200,2020-06-02 07-AM,LSKBTC,8130.081301,8103.727715,8169.934641,8103.727715,6.8,0.0008376,,,,,,
1591077600,2020-06-02 06-AM,LSKBTC,8130.081301,8130.081301,8130.081301,8130.081301,0,0,,,,,,
1591074000,2020-06-02 05-AM,LSKBTC,8156.606852,8130.081301,8156.606852,8130.081301,361.21,0.04441,,,,,,
1591070400,2020-06-02 04-AM,LSKBTC,8064.516129,8058.017728,8156.606852,8156.606852,28.03,0.003437,,,,,,
1591066800,2020-06-02 03-AM,LSKBTC,8103.727715,8064.516129,8103.727715,8064.516129,0.9116,0.000113,,,,,,
1591063200,2020-06-02 02-AM,LSKBTC,8090.614887,8090.614887,8103.727715,8103.727715,146.6,0.01812,,,,,,
1591059600,2020-06-02 01-AM,LSKBTC,8230.452675,8090.614887,8230.452675,8090.614887,1.899,0.0002346,,,,,,
1591056000,2020-06-02 12-AM,LSKBTC,8298.755187,8058.017728,8298.755187,8230.452675,44.23,0.005388,,,,,,
1591052400,2020-06-01 11-PM,LSKBTC,7955.449483,7955.449483,8333.333333,8298.755187,380.78,0.04691,,,,,,
1591048800,2020-06-01 10-PM,LSKBTC,7627.765065,7627.765065,7955.449483,7955.449483,1594.82,0.2006,,,,,,
1591045200,2020-06-01 09-PM,LSKBTC,7843.137255,7627.765065,7843.137255,7627.765065,114.94,0.01503,,,,,,
1591041600,2020-06-01 08-PM,LSKBTC,7782.101167,7782.101167,7843.137255,7843.137255,0.8624,0.0001099,,,,,,
1591038000,2020-06-01 07-PM,LSKBTC,7843.137255,7782.101167,7905.13834,7782.101167,119.72,0.01525,,,,,,
1591034400,2020-06-01 06-PM,LSKBTC,7843.137255,7843.137255,7843.137255,7843.137255,0,0,,,,,,
1591030800,2020-06-01 05-PM,LSKBTC,7849.293564,7843.137255,7949.125596,7843.137255,511.01,0.06432,,,,,,
1591027200,2020-06-01 04-PM,LSKBTC,7843.137255,7824.726135,7849.293564,7849.293564,376.48,0.04801,,,,,,
1591023600,2020-06-01 03-PM,LSKBTC,7830.853563,7830.853563,7843.137255,7843.137255,12.44,0.001586,,,,,,
1591020000,2020-06-01 02-PM,LSKBTC,7880.220646,7830.853563,7880.220646,7830.853563,3.6,0.0004597,,,,,,
1591016400,2020-06-01 01-PM,LSKBTC,7880.220646,7880.220646,7880.220646,7880.220646,0,0,,,,,,
1591012800,2020-06-01 12-PM,LSKBTC,7880.220646,7880.220646,7880.220646,7880.220646,0,0,,,,,,
1591009200,2020-06-01 11-AM,LSKBTC,7880.220646,7880.220646,7880.220646,7880.220646,0,0,,,,,,
1591005600,2020-06-01 10-AM,LSKBTC,7880.220646,7880.220646,7880.220646,7880.220646,0,0,,,,,,
1591002000,2020-06-01 09-AM,LSKBTC,7880.220646,7880.220646,7880.220646,7880.220646,35.96,0.004566,,,,,,
1590998400,2020-06-01 08-AM,LSKBTC,7727.97527,7727.97527,7880.220646,7880.220646,1575.55,0.2,,,,,,
1590994800,2020-06-01 07-AM,LSKBTC,7830.853563,7727.97527,7843.137255,7727.97527,26.88,0.003439,,,,,,
1590991200,2020-06-01 06-AM,LSKBTC,7830.853563,7830.853563,7830.853563,7830.853563,0,0,,,,,,
1590987600,2020-06-01 05-AM,LSKBTC,7830.853563,7830.853563,7830.853563,7830.853563,0,0,,,,,,
